path	role	provenance	generator	licence
data/README.md	docs	hand-written	-	repository licence (MIT)
data/manifest.tsv	docs	hand-written	-	repository licence (MIT)
data/public/secom_v1.0.0.md	pointer	hand-written; references Zenodo 10.5281/zenodo.6809029	-	CC-BY-4.0 (Zenodo archive); pointer file MIT
data/public/hmp_16s.md	pointer	hand-written; references NIH BioProject PRJNA43021 / PRJNA48489	-	NIH public domain (HMP); pointer file MIT
data/profile_weighted_sparse_p1000_n100.txt	measurement	cProfile dump of weighted_sparse + stability at p=1000 n_resamples=100 (seed=200); 2026-06-03 measurement informing optimization spec v2	uv run python benchmarks/profile_stability.py	repository licence (MIT)
data/profile_weighted_sparse_p1000_n100.summary.json	measurement	per-function percent-wallclock summary extracted from the cProfile dump above	uv run python benchmarks/profile_stability.py	repository licence (MIT)
data/profile_post_a_alpha_beta.txt	measurement	cProfile dump of weighted_sparse + stability at p=1000 n_resamples=100 (seed=200) AFTER Line A α+β (relative tol + support_only + parallel-ready + in-place loop + Numba JIT, but profile run with n_jobs=1)	uv run python benchmarks/profile_stability.py	repository licence (MIT)
data/profile_post_a_alpha_beta.summary.json	measurement	post-Line-A per-function percent-wallclock summary; total 87.3s vs pre-A 253.6s (2.9x speedup single-threaded)	uv run python benchmarks/profile_stability.py	repository licence (MIT)
data/calibration_holdout_v2.csv	source-data	Per-cell calibration aggregates (ECE, Brier, PFER bound) from Line B isotonic procedure on the 54-cell holdout	uv run python benchmarks/calibration_report.py	repository licence (MIT)
data/calibration_summary_v2.json	source-data	Aggregate Line B calibration summary (aggregate ECE, Brier, per-scenario ECE)	uv run python benchmarks/calibration_report.py	repository licence (MIT)
